heuristic,agents,profit,time (ns),distance (km)
one,2,130,668,269.39
one,2,135,771,287.57
one,2,140,792,287.79
one,2,145,765,287.82
one,2,150,886,291.83
one,2,155,913,291.86
one,2,160,913,301.52
one,2,165,932,308.26
one,2,170,1036,308.98
one,2,175,1169,313.47
one,2,180,1342,317.19
one,2,185,1689,325.11
one,2,190,2045,347.33
one,2,195,2499,506.60
one,2,200,2685,547.27
one,2,205,2651,558.43
one,2,210,2695,582.11
one,2,215,2711,584.42
one,2,220,2917,585.23
one,2,225,2819,599.88
one,2,230,2832,603.39
one,2,235,2977,605.26
one,2,240,3172,610.38
one,2,245,3854,625.97
one,2,250,4678,681.76
one,2,255,4813,698.45
one,2,260,4839,703.43
one,2,265,4959,709.83
one,2,270,5248,711.66
one,2,275,5445,712.83
one,2,280,5986,724.27
one,2,285,6814,758.84
one,2,290,7530,767.71
one,2,295,8167,776.79
one,2,333,208823,2185.97
one,4,5,314,60.97
one,4,10,302,60.97
one,4,15,308,61.07
one,4,20,315,61.63
one,4,25,335,65.45
one,4,30,375,86.59
one,4,35,370,87.59
one,4,40,383,88.56
one,4,45,429,132.34
one,4,50,456,165.09
one,4,55,462,169.13
one,4,60,490,171.25
one,4,65,484,171.25
one,4,70,471,175.80
one,4,75,500,196.04
one,4,80,509,196.04
one,4,85,541,218.77
one,4,90,545,223.04
one,4,95,545,226.28
one,4,100,547,246.61
one,4,105,562,246.99
one,4,110,584,246.99
one,4,115,616,271.71
one,4,120,647,303.98
one,4,125,649,315.85
one,4,130,674,342.65
one,4,135,772,373.00
one,4,140,809,373.87
one,4,145,814,373.91
one,4,150,824,374.02
one,4,155,850,383.70
one,4,160,911,416.28
one,4,165,933,427.62
one,4,170,1062,438.01
one,4,175,1119,441.04
one,4,180,1252,461.96
one,4,185,1460,487.34
one,4,190,1777,497.54
one,4,195,1980,542.32
one,4,200,2299,673.36
one,4,205,2407,713.42
one,4,210,2451,741.09
one,4,215,2541,753.00
one,4,220,2489,753.20
one,4,225,2444,755.84
one,4,230,2548,761.76
one,4,235,2592,764.54
one,4,240,2784,769.43
one,4,245,3227,785.95
one,4,250,3730,817.96
one,4,255,4186,910.68
one,4,260,4501,962.54
one,4,265,4963,1008.84
one,4,270,5151,1031.24
one,4,275,5226,1040.83
one,4,280,5826,1046.05
one,4,285,6170,1079.54
one,4,290,6131,1102.82
one,4,295,6942,1146.27
one,4,333,70219,3127.58
one,8,5,451,60.97
one,8,10,455,60.97
one,8,15,453,61.07
one,8,20,457,61.63
one,8,25,452,65.45
one,8,30,490,86.59
one,8,35,500,87.59
one,8,40,503,88.56
one,8,45,576,132.34
one,8,50,589,165.09
one,8,55,580,169.16
one,8,60,617,171.30
one,8,65,686,171.30
one,8,70,595,175.84
one,8,75,615,196.09
one,8,80,638,196.09
one,8,85,684,218.83
one,8,90,668,223.09
one,8,95,681,226.67
one,8,100,672,250.78
one,8,105,830,251.12
one,8,110,703,251.12
one,8,115,742,271.95
one,8,120,770,333.12
one,8,125,806,333.83
one,8,130,781,360.65
one,8,135,865,392.94
one,8,140,868,397.69
one,8,145,863,402.09
one,8,150,930,402.35
one,8,155,946,408.26
one,8,160,1073,453.84
one,8,165,1574,480.67
one,8,170,1114,507.12
one,8,175,1170,523.26
one,8,180,1245,556.90
one,8,185,1357,608.59
one,8,190,1477,661.13
one,8,195,1596,761.53
one,8,200,1676,790.75
one,8,205,1733,884.39
one,8,210,1719,910.91
one,8,215,1843,923.78
one,8,220,1816,930.36
one,8,225,1767,944.28
one,8,230,1842,979.13
one,8,235,1959,1012.99
one,8,240,2226,1021.97
one,8,245,2827,1074.47
one,8,250,3145,1222.57
one,8,255,3367,1338.54
one,8,260,3547,1391.41
one,8,265,3671,1444.53
one,8,270,3736,1456.11
one,8,275,3903,1460.41
one,8,280,4350,1534.43
one,8,285,4527,1601.81
one,8,290,4971,1738.09
one,8,295,5346,1809.47
one,8,333,32380,4740.41
one,10,5,469,60.97
one,10,10,479,60.97
one,10,15,480,61.07
one,10,20,480,61.63
one,10,25,489,65.45
one,10,30,532,86.59
one,10,35,532,87.59
one,10,40,552,88.56
one,10,45,692,132.34
one,10,50,679,165.09
one,10,55,679,169.16
one,10,60,676,171.30
one,10,65,672,171.30
one,10,70,681,175.84
one,10,75,663,196.09
one,10,80,652,196.09
one,10,85,714,218.83
one,10,90,737,223.09
one,10,95,732,226.67
one,10,100,742,250.78
one,10,105,737,251.12
one,10,110,737,251.12
one,10,115,764,271.95
one,10,120,782,333.12
one,10,125,789,333.83
one,10,130,834,360.65
one,10,135,950,392.94
one,10,140,960,397.69
one,10,145,962,402.49
one,10,150,958,403.12
one,10,155,979,413.55
one,10,160,1047,454.49
one,10,165,1087,481.35
one,10,170,1171,505.85
one,10,175,1207,522.16
one,10,180,1466,556.56
one,10,185,1414,621.26
one,10,190,1551,662.52
one,10,195,1709,778.99
one,10,200,1768,802.33
one,10,205,1816,900.78
one,10,210,1867,926.10
one,10,215,1895,940.54
one,10,220,1854,942.50
one,10,225,1892,956.53
one,10,230,1885,994.10
one,10,235,2024,1030.08
one,10,240,2206,1072.06
one,10,245,2755,1116.84
one,10,250,2979,1302.28
one,10,255,3123,1434.11
one,10,260,3188,1478.34
one,10,265,3276,1508.80
one,10,270,3283,1518.17
one,10,275,3483,1555.86
one,10,280,3945,1662.40
one,10,285,4330,1817.26
one,10,290,4827,1945.08
one,10,295,4923,2042.75
one,10,333,29345,6067.50
two,1,5,2995,60.92
two,1,10,2989,60.92
two,1,15,3080,60.99
two,1,20,3368,61.54
two,1,25,4109,63.53
two,1,30,6950,66.98
two,1,35,8634,69.84
two,1,40,10273,70.40
two,1,45,17009,80.07
two,1,50,30846,105.79
two,1,55,46915,139.06
two,1,60,49208,142.63
two,1,65,49436,142.72
two,1,70,50847,142.74
two,1,75,52414,142.70
two,1,80,63234,154.90
two,1,85,68412,162.62
two,1,90,69008,165.15
two,1,95,71749,165.90
two,1,100,72437,166.18
two,1,105,75108,169.54
two,1,110,76082,172.43
two,1,115,82727,175.70
two,1,120,88223,175.89
two,1,125,112561,176.93
two,1,130,141448,188.58
two,1,135,191595,227.09
two,1,140,199315,236.49
two,1,145,201924,238.44
two,1,150,209426,239.54
two,1,155,224732,239.59
two,1,160,262150,240.26
two,1,165,259055,240.58
two,1,170,270175,241.07
two,1,175,278131,244.91
two,1,180,308779,246.46
two,1,185,333959,247.90
two,1,190,375810,250.00
two,1,195,479324,257.05
two,1,200,730836,260.18
two,1,205,968044,264.63
two,1,210,1227797,276.43
two,1,215,1508879,304.60
two,1,220,1780240,433.65
two,1,225,1830477,485.55
two,1,230,1858775,502.27
two,1,235,1843397,507.94
two,1,240,1853050,508.21
two,1,245,1930167,509.30
two,1,250,2007006,511.34
two,1,255,2068301,513.92
two,1,260,2220551,516.19
two,1,265,2305387,516.47
two,1,270,2532840,543.13
two,1,275,2465340,583.74
two,1,280,2502699,593.67
two,1,285,2526213,598.89
two,1,290,2551045,604.30
two,1,295,2548231,611.31
two,1,333,4916906,1641.99
two,2,5,4050,60.97
two,2,10,3892,60.97
two,2,15,3977,61.07
two,2,20,4163,61.63
two,2,25,4320,65.40
two,2,30,4968,85.96
two,2,35,4962,86.49
two,2,40,5789,88.00
two,2,45,6825,129.44
two,2,50,8735,157.27
two,2,55,9306,165.12
two,2,60,9544,166.77
two,2,65,9419,166.83
two,2,70,9786,166.97
two,2,75,11843,174.72
two,2,80,14819,181.12
two,2,85,15595,203.40
two,2,90,16123,205.99
two,2,95,17262,206.34
two,2,100,19886,206.45
two,2,105,21999,219.87
two,2,110,22915,220.32
two,2,115,27112,223.32
two,2,120,33286,223.71
two,2,125,43501,237.10
two,2,130,53739,249.88
two,2,135,67005,287.43
two,2,140,69639,295.09
two,2,145,70351,295.93
two,2,150,72328,296.00
two,2,155,74885,296.09
two,2,160,82154,296.52
two,2,165,93623,300.13
two,2,170,105259,301.16
two,2,175,120893,305.87
two,2,180,146692,308.87
two,2,185,172785,312.81
two,2,190,205925,317.48
two,2,195,261321,322.21
two,2,200,360615,329.31
two,2,205,482849,334.64
two,2,210,635125,343.92
two,2,215,793820,365.85
two,2,220,906172,460.24
two,2,225,918492,556.14
two,2,230,931449,579.61
two,2,235,930966,586.86
two,2,240,940170,590.24
two,2,245,951223,592.65
two,2,250,968640,596.06
two,2,255,955944,596.95
two,2,260,986106,604.39
two,2,265,1085464,610.52
two,2,270,1204337,623.59
two,2,275,1272934,646.77
two,2,280,1299411,664.77
two,2,285,1302810,683.16
two,2,290,1298925,690.84
two,2,295,1304936,700.97
two,2,333,2609516,2004.84
two,4,5,9956,60.97
two,4,10,9468,60.97
two,4,15,10021,61.07
two,4,20,9479,61.63
two,4,25,9655,65.45
two,4,30,9898,86.59
two,4,35,9747,87.59
two,4,40,9764,88.56
two,4,45,9725,132.34
two,4,50,10032,165.09
two,4,55,10147,169.13
two,4,60,10445,171.25
two,4,65,10263,171.25
two,4,70,10174,175.80
two,4,75,10339,196.04
two,4,80,10375,196.04
two,4,85,10613,218.77
two,4,90,11258,223.04
two,4,95,11238,226.12
two,4,100,12054,246.48
two,4,105,12563,246.73
two,4,110,12194,246.66
two,4,115,16398,267.46
two,4,120,18168,279.97
two,4,125,23200,301.58
two,4,130,27517,344.63
two,4,135,28880,374.47
two,4,140,29639,378.98
two,4,145,29134,378.86
two,4,150,30825,378.67
two,4,155,31001,384.97
two,4,160,34578,418.38
two,4,165,41851,425.97
two,4,170,51279,428.87
two,4,175,64135,433.35
two,4,180,83705,452.87
two,4,185,110234,475.50
two,4,190,136122,481.28
two,4,195,172643,488.43
two,4,200,231617,494.90
two,4,205,306929,513.85
two,4,210,391680,549.09
two,4,215,474897,583.25
two,4,220,513720,699.61
two,4,225,514285,737.61
two,4,230,513876,746.28
two,4,235,522076,747.82
two,4,240,524299,751.45
two,4,245,532621,757.69
two,4,250,554466,757.64
two,4,255,602796,774.84
two,4,260,662966,777.58
two,4,265,755770,796.75
two,4,270,841504,818.09
two,4,275,867160,851.15
two,4,280,902679,916.07
two,4,285,911262,953.33
two,4,290,924950,962.97
two,4,295,939208,969.04
two,4,333,1904064,2789.42
two,8,5,18275,60.97
two,8,10,18137,60.97
two,8,15,17768,61.07
two,8,20,17880,61.63
two,8,25,17679,65.45
two,8,30,17891,86.59
two,8,35,17937,87.59
two,8,40,18391,88.56
two,8,45,18136,132.34
two,8,50,18187,165.09
two,8,55,17887,169.16
two,8,60,17919,171.30
two,8,65,18648,171.30
two,8,70,18168,175.84
two,8,75,18093,196.09
two,8,80,17933,196.09
two,8,85,18262,218.83
two,8,90,18296,223.09
two,8,95,18442,226.67
two,8,100,18623,250.78
two,8,105,18471,251.12
two,8,110,18634,251.12
two,8,115,18609,271.95
two,8,120,18576,333.12
two,8,125,18832,333.83
two,8,130,19101,360.65
two,8,135,19143,392.94
two,8,140,19541,397.69
two,8,145,19538,398.37
two,8,150,19933,398.55
two,8,155,21528,404.21
two,8,160,22981,447.90
two,8,165,24107,475.49
two,8,170,25275,499.68
two,8,175,27713,516.30
two,8,180,28793,553.11
two,8,185,30420,601.91
two,8,190,37674,627.94
two,8,195,58162,649.49
two,8,200,83009,671.50
two,8,205,99537,813.27
two,8,210,111930,884.32
two,8,215,115826,925.73
two,8,220,115523,941.38
two,8,225,118850,951.71
two,8,230,120827,989.53
two,8,235,137476,1016.97
two,8,240,148569,1025.46
two,8,245,176390,1037.56
two,8,250,196184,1132.58
two,8,255,243809,1213.67
two,8,260,276811,1277.02
two,8,265,319412,1313.09
two,8,270,345213,1342.13
two,8,275,355494,1408.50
two,8,280,367859,1499.26
two,8,285,397375,1518.23
two,8,290,436777,1517.67
two,8,295,486299,1550.84
two,8,333,1128961,4205.66
two,10,5,22481,60.97
two,10,10,22251,60.97
two,10,15,21820,61.07
two,10,20,22670,61.63
two,10,25,22009,65.45
two,10,30,21889,86.59
two,10,35,21962,87.59
two,10,40,21857,88.56
two,10,45,22117,132.34
two,10,50,22596,165.09
two,10,55,22442,169.16
two,10,60,22302,171.30
two,10,65,22402,171.30
two,10,70,22475,175.84
two,10,75,22959,196.09
two,10,80,22709,196.09
two,10,85,23145,218.83
two,10,90,23032,223.09
two,10,95,23035,226.67
two,10,100,23126,250.78
two,10,105,22982,251.12
two,10,110,23119,251.12
two,10,115,23274,271.95
two,10,120,23293,333.12
two,10,125,23128,333.83
two,10,130,22865,360.65
two,10,135,22991,392.94
two,10,140,23436,397.69
two,10,145,23956,402.49
two,10,150,23623,403.12
two,10,155,23509,413.55
two,10,160,24222,454.49
two,10,165,23902,481.35
two,10,170,24494,502.10
two,10,175,24647,522.70
two,10,180,25031,557.05
two,10,185,26619,617.68
two,10,190,29458,652.54
two,10,195,40760,702.13
two,10,200,54542,737.89
two,10,205,63447,874.42
two,10,210,66419,919.57
two,10,215,65210,950.81
two,10,220,67661,953.96
two,10,225,69050,964.13
two,10,230,71557,1007.57
two,10,235,73314,1044.47
two,10,240,84616,1070.79
two,10,245,108800,1083.36
two,10,250,141185,1193.84
two,10,255,169799,1317.70
two,10,260,196944,1378.33
two,10,265,216751,1420.15
two,10,270,228431,1459.41
two,10,275,237834,1525.81
two,10,280,253266,1626.27
two,10,285,279649,1692.37
two,10,290,310150,1776.44
two,10,295,340596,1821.34
two,10,333,933782,4775.36
three,1,5,235,32.44
three,1,10,226,32.44
three,1,15,298,32.53
three,1,20,238,33.11
three,1,25,240,35.40
three,1,30,298,41.55
three,1,35,305,47.50
three,1,40,393,48.10
three,1,45,465,124.69
three,1,50,523,139.61
three,1,55,523,141.13
three,1,60,511,142.66
three,1,65,510,142.66
three,1,70,535,142.66
three,1,75,549,156.02
three,1,80,546,163.06
three,1,85,626,186.50
three,1,90,624,186.50
three,1,95,628,186.50
three,1,100,633,189.65
three,1,105,635,192.95
three,1,110,671,196.69
three,1,115,678,196.72
three,1,120,680,203.10
three,1,125,668,215.74
three,1,130,790,223.92
three,1,135,880,231.00
three,1,140,928,231.04
three,1,145,907,231.04
three,1,150,892,234.83
three,1,155,899,234.99
three,1,160,1016,238.75
three,1,165,1045,238.83
three,1,170,1193,242.78
three,1,175,1404,243.41
three,1,180,2033,246.87
three,1,185,3445,252.06
three,1,190,2696,261.58
three,1,195,3575,451.54
three,1,200,3732,460.34
three,1,205,3605,462.16
three,1,210,3763,464.25
three,1,215,3989,465.84
three,1,220,3970,467.25
three,1,225,4014,467.26
three,1,230,4446,468.42
three,1,235,4650,470.92
three,1,240,5980,481.62
three,1,245,8024,550.02
three,1,250,8713,567.00
three,1,255,9523,568.74
three,1,260,10547,585.18
three,1,265,10299,585.99
three,1,270,10788,586.77
three,1,275,12999,619.41
three,1,280,13813,624.79
three,1,285,15441,626.27
three,1,290,17383,639.58
three,1,295,19848,643.64
three,1,333,851015,1585.65
three,2,5,264,32.43
three,2,10,250,32.43
three,2,15,264,32.55
three,2,20,270,33.13
three,2,25,412,35.43
three,2,30,381,41.61
three,2,35,394,48.48
three,2,40,444,49.09
three,2,45,598,94.43
three,2,50,718,129.10
three,2,55,744,130.68
three,2,60,759,132.20
three,2,65,752,132.20
three,2,70,775,132.20
three,2,75,825,156.35
three,2,80,873,164.96
three,2,85,976,188.99
three,2,90,995,189.72
three,2,95,989,189.72
three,2,100,1028,192.87
three,2,105,1057,196.39
three,2,110,1045,200.18
three,2,115,1023,200.65
three,2,120,1073,207.28
three,2,125,1115,223.29
three,2,130,1244,230.41
three,2,135,1429,241.68
three,2,140,1407,241.75
three,2,145,1416,241.75
three,2,150,1429,245.56
three,2,155,1473,245.72
three,2,160,1587,250.26
three,2,165,1682,250.48
three,2,170,1823,254.46
three,2,175,2078,256.33
three,2,180,2164,259.37
three,2,185,2786,264.53
three,2,190,3603,278.87
three,2,195,3905,449.82
three,2,200,3993,475.93
three,2,205,4024,486.58
three,2,210,4382,489.41
three,2,215,4289,489.64
three,2,220,4163,491.05
three,2,225,4209,494.97
three,2,230,4408,496.03
three,2,235,6913,497.92
three,2,240,5553,515.80
three,2,245,6091,583.18
three,2,250,6361,599.88
three,2,255,6557,605.70
three,2,260,6661,615.06
three,2,265,6805,615.96
three,2,270,7407,623.74
three,2,275,8020,654.26
three,2,280,9131,661.32
three,2,285,9527,666.87
three,2,290,10038,670.32
three,2,295,10850,674.80
three,2,333,293416,1938.34
three,4,5,324,32.43
three,4,10,316,32.43
three,4,15,345,32.55
three,4,20,367,33.14
three,4,25,738,35.44
three,4,30,1145,41.62
three,4,35,685,48.49
three,4,40,724,49.10
three,4,45,982,94.45
three,4,50,1225,125.68
three,4,55,1307,131.10
three,4,60,1336,132.62
three,4,65,1290,132.62
three,4,70,1280,132.62
three,4,75,1413,156.76
three,4,80,1454,165.41
three,4,85,1621,189.43
three,4,90,1641,190.17
three,4,95,1639,190.17
three,4,100,1740,193.31
three,4,105,1753,196.83
three,4,110,1780,200.62
three,4,115,1770,201.09
three,4,120,1852,207.73
three,4,125,1893,224.16
three,4,130,2114,231.36
three,4,135,2541,242.21
three,4,140,2498,242.97
three,4,145,2474,242.97
three,4,150,2515,243.28
three,4,155,2525,247.20
three,4,160,2808,251.69
three,4,165,2930,252.00
three,4,170,3145,252.39
three,4,175,3596,254.78
three,4,180,3802,261.68
three,4,185,4726,263.31
three,4,190,6012,266.85
three,4,195,6756,342.56
three,4,200,7922,449.57
three,4,205,7796,495.80
three,4,210,7936,498.60
three,4,215,8110,498.69
three,4,220,8217,498.81
three,4,225,8400,502.89
three,4,230,8699,504.47
three,4,235,8910,506.36
three,4,240,9741,517.23
three,4,245,10539,551.15
three,4,250,11416,586.19
three,4,255,11952,613.54
three,4,260,11904,625.14
three,4,265,12104,626.07
three,4,270,12148,632.95
three,4,275,12572,647.79
three,4,280,13683,661.92
three,4,285,14343,678.55
three,4,290,14673,682.54
three,4,295,15381,687.12
three,4,333,220584,2090.49
three,8,5,426,32.43
three,8,10,441,32.43
three,8,15,463,32.55
three,8,20,649,33.14
three,8,25,617,35.44
three,8,30,949,41.62
three,8,35,977,48.49
three,8,40,1359,49.10
three,8,45,1762,94.45
three,8,50,2225,125.68
three,8,55,2406,131.10
three,8,60,2304,132.62
three,8,65,2214,132.62
three,8,70,2226,132.62
three,8,75,2460,156.76
three,8,80,2581,165.41
three,8,85,2943,189.43
three,8,90,3030,190.17
three,8,95,3007,190.17
three,8,100,3080,193.31
three,8,105,3230,196.83
three,8,110,3157,200.62
three,8,115,3182,201.09
three,8,120,3296,207.73
three,8,125,3353,224.16
three,8,130,3644,231.36
three,8,135,4285,242.21
three,8,140,4314,242.97
three,8,145,4388,242.97
three,8,150,4543,243.28
three,8,155,4573,247.21
three,8,160,5081,251.69
three,8,165,5147,252.01
three,8,170,5656,252.43
three,8,175,6525,254.81
three,8,180,6898,261.86
three,8,185,8636,263.54
three,8,190,10539,267.16
three,8,195,12334,343.09
three,8,200,14100,442.62
three,8,205,14690,496.99
three,8,210,14892,499.79
three,8,215,14849,499.88
three,8,220,14955,499.99
three,8,225,15270,504.08
three,8,230,15572,505.65
three,8,235,16158,507.54
three,8,240,17275,518.43
three,8,245,18886,550.12
three,8,250,20328,586.10
three,8,255,21078,614.80
three,8,260,21871,626.41
three,8,265,22241,627.36
three,8,270,22537,634.24
three,8,275,23595,648.47
three,8,280,24632,662.93
three,8,285,25707,680.15
three,8,290,26311,684.13
three,8,295,26670,688.80
three,8,333,269128,2136.62
three,10,5,540,32.43
three,10,10,1505,32.43
three,10,15,1353,32.55
three,10,20,596,33.14
three,10,25,836,35.44
three,10,30,1196,41.62
three,10,35,1393,48.49
three,10,40,1466,49.10
three,10,45,2028,94.45
three,10,50,2586,125.68
three,10,55,2696,131.10
three,10,60,2918,132.62
three,10,65,2801,132.62
three,10,70,2774,132.62
three,10,75,3033,156.76
three,10,80,3123,165.41
three,10,85,3599,189.43
three,10,90,3671,190.17
three,10,95,3645,190.17
three,10,100,3705,193.31
three,10,105,3796,196.83
three,10,110,3778,200.62
three,10,115,3836,201.09
three,10,120,3977,207.73
three,10,125,4199,224.16
three,10,130,4579,231.36
three,10,135,5461,242.21
three,10,140,5577,242.97
three,10,145,5323,242.97
three,10,150,5358,243.28
three,10,155,5378,247.21
three,10,160,6175,251.69
three,10,165,6263,252.01
three,10,170,7007,252.43
three,10,175,7968,254.81
three,10,180,8450,261.86
three,10,185,10458,263.54
three,10,190,12854,267.16
three,10,195,15224,343.09
three,10,200,16955,442.62
three,10,205,17728,496.99
three,10,210,17686,499.79
three,10,215,17956,499.88
three,10,220,18039,499.99
three,10,225,18527,504.08
three,10,230,19158,505.65
three,10,235,20105,507.54
three,10,240,20757,518.43
three,10,245,22703,550.12
three,10,250,24807,586.10
three,10,255,26225,614.80
three,10,260,26117,626.41
three,10,265,26337,627.36
three,10,270,26994,634.24
three,10,275,28413,648.47
three,10,280,29851,662.93
three,10,285,30960,680.15
three,10,290,32133,684.13
three,10,295,32986,688.80
three,10,333,290557,2136.62
four,1,5,2788,60.92
four,1,10,2947,60.92
four,1,15,3043,60.99
four,1,20,3318,61.54
four,1,25,4135,63.53
four,1,30,6782,66.98
four,1,35,8539,69.84
four,1,40,10195,70.40
four,1,45,16750,80.07
four,1,50,30268,105.81
four,1,55,46489,139.07
four,1,60,49827,142.64
four,1,65,49809,142.73
four,1,70,49320,142.74
four,1,75,51903,142.67
four,1,80,57928,154.86
four,1,85,68756,162.63
four,1,90,70656,165.20
four,1,95,70523,165.92
four,1,100,72708,166.18
four,1,105,75136,169.50
four,1,110,74639,172.41
four,1,115,81970,175.68
four,1,120,87967,175.90
four,1,125,112769,176.92
four,1,130,140649,188.56
four,1,135,191027,226.93
four,1,140,196814,236.46
four,1,145,203659,238.44
four,1,150,210514,239.51
four,1,155,216037,239.59
four,1,160,244141,240.30
four,1,165,259809,240.58
four,1,170,269025,241.07
four,1,175,280326,244.91
four,1,180,306186,246.47
four,1,185,335204,247.89
four,1,190,377479,249.97
four,1,195,482831,257.09
four,1,200,733469,260.15
four,1,205,973822,264.65
four,1,210,1223122,276.55
four,1,215,1506099,304.59
four,1,220,1785888,434.18
four,1,225,1812388,485.58
four,1,230,1823576,502.41
four,1,235,1831017,507.94
four,1,240,1853992,508.19
four,1,245,1922487,509.29
four,1,250,1993614,511.37
four,1,255,2045096,513.93
four,1,260,2110883,516.04
four,1,265,2247943,516.49
four,1,270,2433868,543.10
four,1,275,2465961,584.02
four,1,280,2492983,593.43
four,1,285,2539088,598.84
four,1,290,2550263,604.51
four,1,295,2537712,611.23
four,1,333,4915233,1641.16
four,2,5,4130,60.97
four,2,10,4044,60.97
four,2,15,3905,61.07
four,2,20,4145,61.63
four,2,25,4528,65.40
four,2,30,5682,84.52
four,2,35,6049,85.05
four,2,40,7650,85.62
four,2,45,9373,127.13
four,2,50,15113,147.60
four,2,55,18722,160.89
four,2,60,19654,163.04
four,2,65,19793,163.00
four,2,70,19724,163.04
four,2,75,25709,163.20
four,2,80,35983,173.11
four,2,85,41495,197.52
four,2,90,41670,198.84
four,2,95,44937,200.23
four,2,100,45878,200.67
four,2,105,49448,204.30
four,2,110,51304,207.32
four,2,115,67316,211.91
four,2,120,80071,212.64
four,2,125,99445,214.61
four,2,130,129633,228.02
four,2,135,178276,264.70
four,2,140,192434,274.68
four,2,145,195145,275.95
four,2,150,199337,277.20
four,2,155,200356,277.42
four,2,160,222018,277.85
four,2,165,238228,278.32
four,2,170,255942,279.86
four,2,175,270378,284.54
four,2,180,309936,286.56
four,2,185,349229,288.82
four,2,190,396850,290.00
four,2,195,507273,295.99
four,2,200,712452,300.04
four,2,205,960903,303.98
four,2,210,1221160,311.80
four,2,215,1512493,332.70
four,2,220,1814265,420.38
four,2,225,1898772,520.32
four,2,230,1923192,537.95
four,2,235,1934463,545.88
four,2,240,1942070,547.93
four,2,245,2007488,549.83
four,2,250,2058099,554.41
four,2,255,2046919,557.91
four,2,260,2061982,561.99
four,2,265,2143189,563.21
four,2,270,2324769,585.21
four,2,275,2357705,610.49
four,2,280,2345497,630.40
four,2,285,2338569,640.39
four,2,290,2396237,651.94
four,2,295,2372477,661.09
four,2,333,4593915,1808.38
four,4,5,9595,60.97
four,4,10,9292,60.97
four,4,15,9284,61.07
four,4,20,9385,61.63
four,4,25,9557,65.45
four,4,30,9748,86.59
four,4,35,9495,87.59
four,4,40,9800,88.56
four,4,45,10020,132.34
four,4,50,9986,165.09
four,4,55,11401,168.57
four,4,60,12668,170.11
four,4,65,12702,170.11
four,4,70,12667,174.65
four,4,75,13843,190.63
four,4,80,15711,193.72
four,4,85,15583,216.45
four,4,90,15677,220.71
four,4,95,21027,220.68
four,4,100,25429,230.97
four,4,105,29848,232.02
four,4,110,33417,235.30
four,4,115,40275,259.01
four,4,120,58304,259.73
four,4,125,87970,258.21
four,4,130,120409,290.67
four,4,135,155117,345.29
four,4,140,164134,350.42
four,4,145,166297,350.17
four,4,150,170396,350.63
four,4,155,176794,355.38
four,4,160,198953,384.44
four,4,165,228919,386.21
four,4,170,293246,383.77
four,4,175,323948,387.43
four,4,180,378929,404.00
four,4,185,457010,405.70
four,4,190,535324,408.49
four,4,195,669578,412.47
four,4,200,923764,417.72
four,4,205,1224446,421.60
four,4,210,1597718,424.95
four,4,215,1987024,446.99
four,4,220,2420735,517.00
four,4,225,2530345,618.97
four,4,230,2574374,636.03
four,4,235,2585642,645.25
four,4,240,2625734,649.77
four,4,245,2673299,653.83
four,4,250,2702232,654.92
four,4,255,2730949,663.77
four,4,260,2705039,669.20
four,4,265,2779743,677.61
four,4,270,2974064,697.45
four,4,275,2960183,721.34
four,4,280,2984680,742.21
four,4,285,3071735,756.62
four,4,290,3121585,775.98
